Hiperparametros,F1_Score_Mean,F1_Score_Std,Accuracy_Mean,Recall_Mean,Precision_Mean
maximumNodes=100,0.93613,0.0107,0.93802,0.93802,0.93868
maximumNodes=75,0.9253,0.01044,0.92775,0.92775,0.92902
maximumNodes=50,0.90984,0.01046,0.9131,0.9131,0.9152
maximumNodes=40,0.89846,0.01673,0.90221,0.90221,0.90448
maximumNodes=30,0.8755,0.01504,0.88168,0.88168,0.88316
maximumNodes=25,0.86744,0.01616,0.87352,0.87352,0.87571
maximumNodes=20,0.83569,0.01086,0.84796,0.84796,0.8512
maximumNodes=15,0.81988,0.0201,0.83288,0.83288,0.83532
maximumNodes=10,0.75973,0.01141,0.77466,0.77466,0.77509
maximumNodes=5,0.5112,0.01901,0.58429,0.58429,0.64641
