Hiperparametros,F1_Score_Mean,F1_Score_Std,Accuracy_Mean,Recall_Mean,Precision_Mean
kernel=rbf C=10.0 γ=1.0,0.94701,0.0089,0.94764,0.94764,0.94727
kernel=linear C=100.0,0.943,0.00726,0.94366,0.94366,0.94336
kernel=rbf C=1.0 γ=1.0,0.94163,0.00737,0.94262,0.94262,0.94197
kernel=linear C=10.0,0.93994,0.00611,0.94073,0.94073,0.94008
kernel=rbf C=10.0 γ=0.1,0.93763,0.00646,0.93864,0.93864,0.93778
kernel=sigmoid C=10.0,0.93748,0.00483,0.93864,0.93864,0.93794
kernel=linear C=1.0,0.93641,0.00429,0.93759,0.93759,0.93701
kernel=rbf C=1.0 γ=0.1,0.92968,0.00709,0.93152,0.93152,0.93125
kernel=sigmoid C=1.0,0.91994,0.00933,0.92335,0.92335,0.92489
kernel=linear C=0.1,0.91729,0.01059,0.92084,0.92084,0.92218
kernel=poly C=10.0 d=3 c0=0.0,0.88136,0.0094,0.8846,0.8846,0.88373
kernel=poly C=1.0 d=3 c0=0.0,0.5242,0.00583,0.58325,0.58325,0.57366
