Hiperparametros,F1_Score_Mean,F1_Score_Std,Accuracy_Mean,Recall_Mean,Precision_Mean
"topo=[50, 25] lr=0.01 ep=1000",0.94379,0.00887,0.94438,0.94438,0.94391
"topo=[40, 20] lr=0.01 ep=1000",0.94344,0.00818,0.94408,0.94408,0.94375
"topo=[20, 10] lr=0.01 ep=1000",0.94282,0.00832,0.94345,0.94345,0.94312
"topo=[30, 15] lr=0.01 ep=1000",0.94237,0.00831,0.94304,0.94304,0.9427
"topo=[10, 5] lr=0.01 ep=1000",0.94198,0.00727,0.94258,0.94258,0.94216
topo=[50] lr=0.01 ep=1000,0.94194,0.00751,0.94245,0.94245,0.9421
topo=[40] lr=0.01 ep=1000,0.9416,0.00743,0.94212,0.94212,0.94175
topo=[30] lr=0.01 ep=1000,0.94158,0.00756,0.94212,0.94212,0.94176
topo=[20] lr=0.01 ep=1000,0.94082,0.00757,0.9414,0.9414,0.94097
topo=[10] lr=0.01 ep=1000,0.9401,0.0082,0.94069,0.94069,0.94026
